"gene_id","SRR7819740","SRR7819751","SRR7819759","SRR7819764","SRR7819779","SRR7819802","SRR7819811","SRR7819835","SRR7819851","SRR7819862","SRR7819863","SRR7819866","SRR7819867","SRR7819869","SRR7819870","SRR7819871","SRR7819875","SRR7819885","SRR7819891","SRR7819893"
"CYB5A",688,2207,545,528,1094,5233,733,4589,1308,2117,1717,1827,732,931,1171,894,916,827,408,1682
"BCL2",192,154,244,176,146,506,46,532,42,145,81,153,115,389,547,307,227,280,152,383
"PPIAP1",10,35,21,14,11,6,23,7,6,21,6,34,41,2,6,5,8,6,5,7
"CDH20",0,0,0,0,0,0,0,0,2,0,3,0,9,8,6,1,0,11,0,2
"MC4R",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"PMAIP1",17,7,7,5,12,16,38,7,40,5,12,29,12,13,42,47,2,7,2,18
"SEC11C",1711,1006,1336,1481,1284,1198,1600,1761,2896,4583,2766,3069,2424,2852,1515,1922,1673,1729,1573,2982
"MIR122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TCF4",176,105,143,578,76,540,721,289,161,192,572,87,132,414,275,377,401,592,71,275
"CUPIN1",4,11,2,6,10,2,7,0,55,25,7,4,6,1,9,12,7,4,2,14
"TAAR5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"TAAR4",0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"VNN1",1447,2103,1047,1420,913,1765,1951,1014,544,2452,1146,723,385,616,677,1128,755,1658,988,2329
"TBPL1",113,65,69,92,79,99,88,91,154,208,156,134,129,145,136,202,90,132,81,169
"UTRN",2508,1677,4657,3957,2519,9416,2572,6660,543,1817,2285,565,584,4096,6617,2975,6475,5267,1286,3540
"PPIL4",559,398,484,463,463,595,314,361,327,1006,555,288,455,908,881,817,898,979,405,856
"LATS1",316,163,510,345,272,531,146,180,29,176,194,132,57,766,662,515,656,664,139,361
"ESR1",1842,449,2026,1332,701,2388,45,3286,108,1639,97,399,279,1656,1033,585,291,513,1767,948
"OPRM1",1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIR8873B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NOX3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EZR",17474,12650,10075,6748,16737,8657,7328,6036,8773,46983,15565,8967,17495,15766,18957,15542,19337,20895,4504,24753
"MIR1836",26,0,7,4,14,5,13,4,6,12,2,3,11,2,11,8,0,15,7,13
"MAS1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGF2R",6360,1497,3429,3345,3293,3010,992,4257,2389,4263,3654,644,3436,9285,3762,3134,5305,10996,3110,4519
"SLC22A2",0,10,1,0,6,69,0,22,0,0,0,0,0,0,0,0,2,2,0,0
"PLG",0,0,1,0,0,0,0,0,24,1,16,0,13,4,0,0,5,5,0,0
"QKI",899,515,1162,920,755,2191,689,1404,192,643,736,226,282,1493,1254,868,1400,1472,548,818
"TBXT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SMOC2",483,416,671,2472,307,1771,458,617,2944,1626,3476,1197,398,1308,1022,3594,164,1301,382,976
"THBS2",118,1509,664,608,214,4799,13055,11258,6671,3302,14079,960,439,2276,2443,4136,1079,888,24,3015
"PLN",22,17,371,13,17,38,11,16,8,316,4,91,9,9,30,76,3,20,0,205
"GJA1",2009,15364,3689,2878,16535,5232,2647,2255,6842,7822,17163,4469,2925,7427,2298,3271,9821,10606,1115,5188
"TRDN",0,0,0,0,0,3,0,1,0,177,0,14,3,1,0,0,0,3,0,626
"ARHGAP18",5799,758,4707,2723,1959,648,1017,577,862,5158,1765,815,786,1236,1456,2052,1842,1580,5201,3276
"MIR24-1",113,42,16,52,84,27,89,2,32,79,148,26,57,73,51,153,15,120,30,112
"MIR27B",47,20,10,19,30,15,47,0,11,62,86,10,6,20,14,65,15,67,22,69
"MIR23B",22,8,2,6,18,7,20,0,7,29,23,1,2,8,5,34,2,16,4,33
"DAPK1",2189,332,1332,1314,1117,1245,609,1412,324,1348,970,523,484,1225,1452,1526,970,1511,1366,1949
