gene_id,SRR7819740,SRR7819751,SRR7819759,SRR7819764,SRR7819779,SRR7819802,SRR7819811,SRR7819835,SRR7819862,SRR7819866,SRR7819851,SRR7819863,SRR7819867,SRR7819869,SRR7819870,SRR7819871,SRR7819875,SRR7819885,SRR7819891,SRR7819893
AAMP,4082,2967,2807,3201,3931,2645,2979,3503,6035,2855,5536,4945,3920,5085,3625,5584,3706,5324,4953,5583
AANAT,72,176,149,21,530,0,0,0,55,331,17,27,79,446,260,81,20,153,61,154
ABCA4,117,93,111,182,171,34,148,0,95,40,37,68,164,130,72,127,0,54,118,87
ABCB1,75,27,76,78,50,306,43,32,275,55,25,132,83,122,135,175,107,225,53,186
ABCB11,0,229,177,9,700,140,19,292,8,187,9,16,5,12,97,154,0,22,0,122
ABCC1,1060,1110,943,915,1485,1148,739,1043,613,285,1013,992,599,1744,1384,1148,556,1335,393,1788
ABCC2,5,0,0,0,0,0,0,20,0,0,0,0,0,15,0,0,0,0,0,0
ABCC4,46,71,140,133,50,403,458,97,236,72,199,503,82,933,142,401,471,682,0,243
ABCC5,1246,3000,683,1558,2340,1020,1759,872,840,508,1686,2176,1012,2078,1165,3209,3102,3211,316,2078
ABCG2,372,991,2708,1423,514,677,1149,450,1403,659,445,483,158,421,512,723,665,247,717,3610
ABO,271,96,381,329,215,38,104,21,368,112,235,181,143,194,54,331,116,83,223,309
ACAN,34,20,10,47,12,22,20,19,55,9,43268,13341,6999,100900,2609,45,3673,8881,32,296
ACE2,1298,412,2853,1107,1029,31,252,649,1889,490,29,397,13,353,94,298,615,1045,1758,1445
ACKR3,99,2823,969,1511,443,17421,17873,5708,7352,2045,1062,1057,96,460,1498,1556,457,942,123,5331
ACP5,6895,502,629,724,970,2108,8635,5824,5501,5534,30522,29292,22578,1708,760,3911,5375,3159,672,1857
ACTB,45938,32848,19489,34342,37591,39320,46632,46398,49244,19335,63140,97446,87386,43483,36538,78655,29018,73577,22410,49068
ACTG1,120015,88194,65050,78685,102642,59765,101221,75360,177900,100519,134236,243767,173921,123047,102327,205806,123404,201811,75772,141849
ACTR1A,6275,7630,5182,5590,8293,6960,8402,7301,10420,5395,7965,11121,7315,8649,7148,8028,6784,10256,4222,9770
ACYP1,129,158,90,103,123,130,414,137,419,349,234,241,292,269,142,223,125,200,65,214
ADAM17,1606,923,1310,1047,1629,1534,1367,1020,1536,582,871,1858,833,1972,1845,1830,1781,2552,1030,2348
ADAM9,2018,1056,1517,1886,1333,5423,2417,4992,3964,1113,1361,6175,1033,5223,5419,3888,6217,6732,857,6006
ADAMTS10,1196,625,560,1238,995,696,2772,732,971,458,1871,1161,897,559,941,1096,441,1134,721,981
ADAMTS13,251,112,69,208,160,116,689,56,138,32,202,134,280,177,151,162,40,177,255,128
ADCY10,132,58,39,36,71,46,45,29,30,11,13,37,60,65,0,33,20,84,26,32
ADCY5,296,2749,463,577,599,9612,414,8058,477,481,1021,1072,449,669,387,1558,549,1222,128,893
ADCY6,2808,1687,2656,1629,2414,6517,2724,6182,1606,616,1005,1492,767,1824,1495,1918,1917,2909,1393,1728
ADGRE1,121,40,44,80,76,1308,774,192,192,46,150,410,14,147,231,530,365,324,24,271
ADGRE2,126,6,59,46,28,96,41,166,48,31,63,71,75,101,118,245,129,228,27,146
ADGRE3,62,18,53,102,18,221,100,66,100,42,95,68,74,58,60,809,41,93,20,353
ADGRE5,1660,2208,2084,2662,1624,6792,7586,7636,5605,1181,4094,3414,1984,4122,3056,5298,2559,6069,1181,7199
ADGRL2,3159,1964,1610,2132,2708,2038,1342,2378,2653,1091,1328,3850,1540,2480,2412,3789,3292,5255,1120,2251
ADH5,5897,3410,3295,3424,3600,5009,2264,7314,7720,3912,3366,4611,5939,6964,4391,5577,3888,4466,4086,5012
ADIPOQ,11,19237,447,357,1289,129376,65,146790,357,8231,6,13,2,0,117,761,11,12,0,5516
ADM,600,1752,394,857,599,4934,9275,6575,1193,1253,1662,1515,321,1054,757,1178,970,1055,85,1437
ADORA1,9,254,12,14,59,1118,9,2964,26,80,55,71,93,26,33,81,13,48,0,148
ADORA2A,30,27,28,52,23,32,53,69,77,37,155,78,28,31,37,142,39,46,44,74
ADORA2B,350,604,213,648,601,839,1654,304,964,503,384,388,268,347,542,515,470,422,135,539
ADORA3,140,17,76,62,30,249,349,265,334,230,111,383,143,117,273,227,87,197,95,361
ADRA1A,404,67,252,73,208,327,32,221,99,101,35,39,72,343,1037,259,74,88,165,204
ADRA1B,6,34,15,3,13,71,28,46,8,5,98,36,70,116,11,9,10,51,0,22
ADRB1,16,20,6,9,25,175,2,198,8,52,3,0,13,4,24,17,10,8,9,35
ADRB2,470,558,729,820,1094,1145,328,2323,1218,1063,233,452,446,1266,743,822,438,622,173,1855
ADRB3,3,37,3,13,2,99,32,236,6,11,5,6,0,2,0,3,0,0,5,1
AFP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGER,282,125,70,206,259,55,109,12,126,25,68,115,194,54,99,220,51,236,128,165
AGL,2430,892,2331,1569,2066,4662,648,3056,1748,591,496,2018,473,4440,3773,2962,2796,4492,839,2862
AICDA,0,8,0,0,0,22,26,0,13,13,0,0,0,0,0,5,0,0,0,12
AK1,950,5039,450,1075,1661,13690,1576,41411,2613,3791,8771,3122,3495,4562,1278,1057,2263,2825,696,2462
AK6,458,344,317,361,466,518,327,381,1351,605,905,828,473,917,781,559,650,736,275,688
AKAP8,3129,1567,1447,2057,2685,1053,1484,1041,2942,1047,3610,2121,3217,1845,2406,3319,1283,3386,3858,3311
AKR1A1,5719,4968,4280,4078,5198,3928,3835,6303,7913,5346,5544,7444,5815,6289,5877,5545,4143,6178,5158,8001
AKR1B1,2175,5511,1617,1988,2109,8980,4139,18725,3962,3057,7055,3656,3275,5408,2796,3701,1769,4134,2907,4643
AKR1C3,40,10,11,3,6,0,0,0,11,3,0,0,0,1240,2769,0,71,13,73,17
AKT2,1695,1572,1192,1406,1714,4072,1515,12568,1514,1041,1106,1463,1023,1996,1642,2307,1604,2207,1111,2152
ALB,27,18,0,87,0,13,0,6,26,12,9,19,13,0,0,8,45,0,0,18
ALCAM,7834,2557,3244,2216,4255,1197,877,1139,9932,2808,1278,6590,11406,27211,11493,15469,12336,20390,2382,8761
ALDH1A1,2584,1190,3058,1922,2798,2307,431,1644,4394,1969,837,663,937,3209,6327,3027,1225,3591,844,10630
ALDH1A2,776,86,358,86,505,130,18,55,403,150,115,106,66,65,2277,158,142,51,132,2048
ALDH3A1,57,10,104,62,75,10,0,0,134,127,0,10,62,26,15,60,0,24,10,219
ALDOC,1109,958,1018,870,4475,252,335,153,1956,788,5068,4628,9722,16477,3164,1092,2624,4022,1179,1897
ALOX5,1383,298,569,435,976,1422,629,565,2860,814,240,865,990,510,1264,2391,785,922,409,2316
ALPL,5603,357,988,6880,1284,85,122,74,8384,1713,35705,3557,2981,5489,3057,15411,3796,3914,1334,3396
AMH,28,37,0,17,13,8,23,0,0,0,13,0,0,0,0,0,0,15,6,6
AMN,14,26,10,17,32,0,0,0,0,15,0,0,23,0,3,0,0,0,0,0
AMT,3665,1835,1145,2295,2873,1872,5024,955,3804,719,1609,4082,4224,1125,1802,3603,704,4486,1889,4289
ANGPT1,105,329,81,197,26,2140,116,1127,217,130,49,375,42,199,170,1018,90,249,40,223
ANGPT2,203,110,170,623,116,454,2138,182,733,227,609,672,59,203,358,617,538,563,85,320
ANGPTL1,176,358,623,1301,80,5953,1471,988,2790,1036,46,245,20,195,383,503,132,313,0,3187
ANKHD1,5751,3798,4889,5026,6040,3820,2924,3485,4389,1355,2067,3507,3613,6251,7526,4680,5924,6698,3437,6330
ANO5,131,13,124,46,70,171,25,27,212,44,798,137,31,224,218,225,120,63,28,515
ANP32A,3881,4880,1828,2197,3852,1334,1794,3323,7312,3007,5326,4890,4470,4522,4119,3646,3292,4088,3446,3913
ANPEP,7056,2871,6247,4214,7489,7084,29861,15239,14712,2141,6335,5269,5942,19385,26126,9091,2252,3797,6795,21413
ANXA1,30146,47064,21745,22776,36409,76038,29504,94078,213609,38329,45927,74979,47789,33226,97652,41128,55817,66974,4985,96302
ANXA13,34,21,11,38,24,0,0,0,16,45,22,27,43,80,81,99,57,62,21,9
ANXA2,40208,67847,31549,38992,67075,68448,74591,82625,124078,65645,57656,134869,72295,61100,61786,50796,74305,87015,25643,120710
ANXA4,3593,1412,2558,130,1406,225,4176,4638,9849,1970,3402,6338,1885,10351,5254,2387,9541,8530,1841,5707
ANXA5,11969,14908,10514,11175,7674,44681,16561,81697,28148,14758,15285,20822,8072,15285,11271,15431,12095,12360,17351,24703
AOX2,47,178,43,24,95,789,69,2554,157,102,22,70,65,256,154,58,34,92,32,112
AOX4,0,404,1187,24,411,0,0,0,14,535,0,24,13,179,91,104,102,19,0,431
AP2M1,13676,12735,8956,13445,13350,15202,30560,21445,23094,12484,24122,27644,12383,19224,14855,17289,13940,18206,11151,18950
AP3B1,4501,2669,2751,3192,3141,4123,3037,3826,5315,1867,3144,4758,4261,5652,3817,3966,4769,4780,2688,5404
AP3M1,4279,2292,3409,3150,3249,3314,2052,2382,6038,2168,2087,3806,2824,6527,4450,3536,4380,5393,2112,4210
AP3M2,29,16,31,10,15,138,14,201,50,24,29,70,9,40,35,115,24,44,7,80
AP3S2,1187,799,913,890,979,1037,833,1032,1862,1225,1362,1306,834,2275,1934,1233,1238,1444,951,1947
APEX1,6585,7197,3831,5404,7071,2368,3979,3142,7907,5579,8316,7383,6848,7232,4723,9520,6851,6665,5983,6316
APOA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APOBEC3Z1,0,0,0,5,6,0,0,0,16,0,18,46,19,20,149,10,96,18,0,29
APOBEC3Z3,176,14,23,51,46,38,80,45,201,188,144,144,202,38,115,215,50,63,29,136
APOC1,559,750,185,316,741,267,235,655,1773,1970,1349,5271,1519,1345,3228,1063,2363,6151,398,1875
APOC2,18,13,2,23,9,16,0,9,15,6,6,3,22,4,33,17,13,7,9,16
APOC3,0,652,0,7,85,2342,0,2190,16,297,0,0,0,0,0,7,0,0,0,104
APOH,0,0,0,0,0,9,11,13,0,5,0,0,0,0,0,0,0,0,0,0
APP,56117,22758,31725,35670,27706,54996,16420,45525,88462,14497,27671,64193,45540,84638,67731,69129,69349,89328,38133,73610
APTX,646,459,256,405,653,270,435,364,905,485,766,831,943,576,551,585,365,568,421,573
AQP1,523,2295,3187,4323,569,13189,9697,725,3079,2623,1069,2337,271,819,3183,7978,1230,2275,523,3275
AQP2,23,9,3,0,0,0,0,0,0,0,14,0,0,0,20,3,0,9,5,0
AR,44,23,78,92,45,137,0,192,50,5,0,10,0,54,99,30,37,86,7,69
ARF1,5874,5011,5647,5697,6023,5302,5340,4814,9817,5326,5293,7551,4107,7964,7051,7082,6279,6968,4826,7841
ARG2,1420,725,710,845,872,538,1563,331,1646,853,1284,2135,1639,1868,1666,2283,2470,2188,419,1791
ARHGAP1,3012,1474,2162,2406,2293,3047,2486,2057,3763,1618,1704,3854,2263,3589,4332,4709,4226,4520,808,3820
ARHGAP18,12008,1549,9691,5649,4066,1356,2087,1164,10525,1674,1766,3588,1595,2616,3068,4158,3761,3188,10617,6582
ARHGAP35,2679,1485,2801,2534,2296,3788,1593,2569,1263,586,581,1609,575,4741,3499,2908,3905,4253,943,2211
