"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACAN",3959.12061945391,-9.35394661515699,0.84574364748046,-11.0600258636564,1.96040987303566e-28,2.89552538247367e-25
"CA9",538.417099015374,-3.67390135867753,0.629185414203055,-5.83913942654091,5.24711451162533e-09,1.54999762673412e-06
"COL2A1",2608.23360684362,-5.17497089016173,0.94768601169585,-5.4606386781011,4.74424731898412e-08,8.75906661267442e-06
"FUT5",11.0443616923393,-3.41090415127853,0.631278612493967,-5.40316760899472,6.54742261625319e-08,1.07450480046733e-05
"CCL7",205.764333479875,-3.38108954712883,0.641091009993008,-5.27396187815159,1.33509651867222e-07,1.79267050734443e-05
"NEFH",56.0059999700869,-5.0720430193719,1.01775208105286,-4.98357420613169,6.24203591819648e-07,6.14632470078413e-05
"OBP",332.433415839958,-5.32361535182111,1.17576928766104,-4.52777207883307,5.96088247501923e-06,0.000352168936624136
"CDH2",93.6196249003466,-3.49288157666168,0.778869231756316,-4.4845545750798,7.30664040687737e-06,0.000399700291887329
"MX1",2356.06248099626,-2.52491709252262,0.572097256405533,-4.41344030975885,1.01740778451627e-05,0.000518176309562254
"BGN",10813.841989695,-2.55350241381093,0.581041855933414,-4.39469616127544,1.1092779656628e-05,0.000528517275898051
"TFF3",80.5106814893659,-4.79821858411151,1.10234991145709,-4.35271825601112,1.34459902272711e-05,0.00062061648642748
"APOBEC3Z1",9.1059513018844,-3.552191908047,0.833855277027748,-4.25996213720525,2.044615363903e-05,0.000862827683567065
"CHI3L1",2570.51597500846,-2.11111990036525,0.49732766732523,-4.24492751774591,2.18664091825724e-05,0.000897130176740541
"LEPR",301.905063065795,-2.65579298377909,0.653016877071138,-4.06695918134711,4.76305820484931e-05,0.00171586267525913
"MMP3",49.3045799830493,-4.11192067088757,1.01714016183464,-4.042629349598,5.28551374734486e-05,0.00182839586192621
"TNC",4940.04348109178,-2.56253868028408,0.64579924195416,-3.96801128556601,7.24749025931304e-05,0.00243285070750122
"PROM1",2230.73721529161,-2.00547729813469,0.541816624578226,-3.70139491326211,0.000214417456979263,0.00538742464402268
"AKR1C3",34.1439037774901,-4.03913691722988,1.19504894019102,-3.37989247250766,0.000725141934203072,0.0135574004660498
"ST8SIA6",47.9827510833987,-2.40675367509688,0.716060211126913,-3.36110516643455,0.00077631260704678,0.0139830941537572
"MYH1",20.3301048728702,-2.96688625761294,0.882367990772831,-3.36241374192911,0.00077264261136931,0.0139830941537572
"PLG",3.27385957255904,-4.42949759812408,1.32389174203358,-3.34581556594656,0.0008204094591091,0.014425532989335
"LTF",37561.8713494782,-2.13303170418231,0.667381877042064,-3.19611871037947,0.00139289790741541,0.0221216151532533
"MMP9",2372.51117733702,-2.30086080260534,0.729173970961702,-3.15543463457801,0.00160259171607115,0.0246565412983031
"MSTN",6.5064833809745,-2.93589047000312,0.978567768307838,-3.00019126430041,0.00269810124078354,0.0349569783564675
"MYH2",52.4088259875148,-2.40654807026873,0.809878255654812,-2.9714936207578,0.00296355030586306,0.0370946084894893
"RHCG",9.46924407231848,-2.10268026025319,0.723057955611144,-2.9080383445556,0.00363703738954034,0.0433218082608958
"FXYD2",25.371380713365,-2.73784156713655,0.946072846359477,-2.89390143441054,0.00380487579498467,0.0442504058991524
"NKX2-5",32.5035964692724,-2.41428854071486,0.846287863178117,-2.85279825666923,0.00433361239629206,0.0485636581095288
