"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"KRT25",3342.85899918056,7.93517258540468,1.14607775561011,6.92376459325,4.39796523955357e-12,3.24789732941031e-09
"KRT27",1685.86262321498,8.16168309845274,1.2696126660985,6.42848273051137,1.28883892006381e-10,6.34538361644748e-08
"ADIPOQ",9226.8637022367,7.94257307654241,1.29623329292279,6.12742561073498,8.93123328276099e-10,3.2978578896595e-07
"G6PC",124.228560285596,5.43273662486526,0.949286739438387,5.72296693839772,1.04679642212517e-08,2.57686385913146e-06
"PTGER3",279.382933641665,4.406756730382,0.796473495809497,5.53283537188289,3.1509518865226e-08,6.64850848056268e-06
"PCK1",1896.89329268482,6.9555805216176,1.30494078608823,5.33018861527663,9.81108173301505e-08,1.44909677196632e-05
"KRT33A",354.1287057298,7.53446136095623,1.43903546924558,5.23577182215406,1.64296827694109e-07,2.02222012086833e-05
"HRH2",139.106130500995,4.01845839411289,0.785476936540779,5.11594702170388,3.12170678781959e-07,3.5467391735458e-05
"LEP",1623.93908731019,5.73783986225048,1.14487255894801,5.01177167485158,5.3931173484483e-07,5.68973880261296e-05
"CD209",5765.23562579101,4.36051508658969,0.8784286851373,4.96399441453592,6.90579301481494e-07,6.37491017680104e-05
"ADRB3",13.4053866288098,4.65059979102328,0.95664168460768,4.86138108536479,1.16569597638663e-06,0.000101278409242533
"APOC3",160.418064939749,6.09523389934923,1.26480620796428,4.81910498301519,1.4420366280019e-06,0.000118327116642156
"LGALS12",336.993366257264,4.28147111411082,0.910192167313047,4.70391997192201,2.5521331854646e-06,0.000198394774470064
"PPARG",1322.24793785683,3.033764758728,0.652604896579621,4.64870057615001,3.34032699464038e-06,0.000246683148554192
"FFAR4",106.233317462429,5.7727038009124,1.26713530118511,4.55571223965852,5.22083694411303e-06,0.000350508007566134
"HOXA10",28.1856045863829,2.86423320634079,0.631301193098659,4.53703119470133,5.70516703083745e-06,0.000352168936624136
"KRT33B",360.72940971666,8.61838314764442,1.90052981858676,4.53472661326255,5.76781453813398e-06,0.000352168936624136
"CKM",177.80164866788,3.87154620349624,0.862109452541201,4.49078268668121,7.0961924385831e-06,0.000399700291887329
"HCAR1",51.1121961948797,4.530761326865,1.02982628147162,4.39953942561125,1.08480868377343e-05,0.000528517275898051
"GHR",2418.43839887956,2.77739112151658,0.640888926249869,4.33365440992771,1.46654333691158e-05,0.000656389245035879
"FMO3",156.923077195792,2.83789565015393,0.663033440361156,4.28016971302099,1.86750848632742e-05,0.000811267657148706
"RPPH1",64.1730160902712,2.66173080848432,0.637068869249322,4.17808958648494,2.93967871533658e-05,0.00117348796285192
"MAOB",666.140811483691,2.77806870372228,0.668395194373916,4.15632656713592,3.23405465097611e-05,0.00125702597881361
"CTXN1",26.0473763339367,2.57753202179368,0.651192647295914,3.95817126083489,7.5525798417558e-05,0.00247892453917185
"ADORA1",139.120271286438,3.41165881588219,0.881824839636314,3.86886223038266,0.000109344400726126,0.00333065188915854
"RN7SL1",130.681425823018,2.30535790429839,0.597539669813366,3.85808343907685,0.000114279637276551,0.00337582048514932
"FOLH1",1189.45922977759,2.14446744954403,0.563058940122783,3.80860207827692,0.000139754651242187,0.00389467207329642
"TIMP4",110.982339762356,2.22380530954316,0.597201612841744,3.72370948390667,0.000196316821169418,0.0051778561583434
"SGCG",404.070662505321,3.67882716630123,0.994039035949824,3.70088802678261,0.00021484627260252,0.00538742464402268
"KRT85",85.5659625010082,4.76469976912316,1.2901244289985,3.6932094781136,0.000221441464363705,0.00538742464402268
"ACKR3",1707.00570860311,2.54654354794163,0.695000477214192,3.66408891998043,0.00024822054768703,0.00591325401506038
"DES",530.282864809135,2.48265633969693,0.706394315649504,3.51454744849442,0.000440503969693647,0.0093893338919272
"RHBG",436.302605303687,2.11123942520548,0.601175143455416,3.51185415463215,0.000444992127579488,0.0093893338919272
"SLC6A4",20.0873512509574,3.20845899464023,0.922237601941984,3.47899390339765,0.000503300036783465,0.0101832075935504
"CYP21A2",1544.58733541326,2.22966259383558,0.65775951409999,3.38978387395341,0.000699477461117451,0.013245233462442
"MYH3",25.7966416756858,4.16829939250708,1.25109890041332,3.33171053953449,0.000863139828646524,0.0149983238460108
"ITGAD",76.7027930801161,2.40250681017778,0.764950183844171,3.14073630011336,0.00168523695886313,0.0256607730746478
"SLC1A3",791.987075586383,2.25935178617126,0.728407418282803,3.10176932505384,0.00192367794807675,0.0284127232930936
"FGF5",62.0820156397851,6.5156588551971,2.12119822366933,3.07168787079505,0.00212852170984953,0.0308218290730172
"ABCB11",58.4461917686087,2.51217716747843,0.828742968203037,3.03131038677236,0.00243494800941941,0.0336113851393689
"SLC22A2",6.23095258389801,5.0048020514752,1.65779935261045,3.01894318126883,0.00253658099002948,0.0336207231651617
"ADRB1",18.6295367395371,2.26966095428118,0.762849494771966,2.9752408172724,0.00292758624363255,0.0370946084894893
"CPB1",4.6075525755207,2.36154707771135,0.799938980965786,2.95215901950445,0.00315560375448591,0.0388402228781307
"CD5L",138.114385131974,2.34788272243121,0.797514814808234,2.94399888106878,0.00324001170948488,0.0395495644207369
"MT4",661.912452542069,5.98944770790499,2.088840800052,2.86735480643421,0.00413918681364554,0.0470275301827267
